OBJECTID,WUDS_ID,NAME,CNTY_CODE,CNTY_NAME,OWNERSHIP,GW_SOURCE,SW_SOURCE,INTCONNECT,LAST_DATE,PWS_ID,SHAPEAREA,SHAPELEN
15233,18656,PINE RUN MHP,01,Adams,Mobile Home Park,Y,N,N,2015/03/23 00:00:00+00,7010052,561659.520678,3090.9770197534
15234,18709,BENDERSVILLE WATER CO,01,Adams,Municipal,Y,N,N,2003/01/01 00:00:00+00,7010002,1782517.34815379,14341.5176656928
15235,18711,EAST BERLIN AREA JOINT AUTH,01,Adams,Municipal,Y,N,N,2017/03/08 00:00:00+00,7010003,3171626.57974486,7664.13015155032
15236,18718,LAKE MEAD MUNI AUTH,01,Adams,Authority,Y,N,N,2017/03/27 00:00:00+00,7010036,7087901.15479776,12611.9996883695
15237,19738,BONNEAUVILLE BORO WATER SYS,01,Adams,Authority,Y,N,N,2024/03/04 00:00:00+00,7010012,4849598.03954323,14203.3003963777
15238,20270,HILLSIDE REST HOME INC,01,Adams,Institutional Health,Y,N,N,2023/03/09 00:00:00+00,7010006,1329.44428941,146.131209115635
15239,19617,WORTHINGTON W FRANKLIN JT MUNI AUTH,03,Armstrong,Authority,Y,N,Y,2022/08/09 00:00:00+00,5030027,27239089.097512,25647.9597186453
15240,18758,FORD CITY BORO,03,Armstrong,Municipal,N,Y,Y,2003/01/01 00:00:00+00,5030005,2864696.07425731,9991.05150258231
15241,18366,SUGAR CREEK REST HOME,03,Armstrong,Institutional Health,Y,N,N,2003/01/01 00:00:00+00,5030034,944708.820003405,3960.4345627339
15242,18768,MAHONING TWP MUNI AUTH,03,Armstrong,Authority,N,N,Y,2019/02/13 00:00:00+00,5030024,10296533.2095631,23912.8473341385
15243,18772,TEMPLETON WATER CO,03,Armstrong,Private Investor Owned,N,Y,N,2003/01/01 00:00:00+00,5030016,1309056.87518915,5241.17088539568
15244,18802,OSTERBURG WATER CO,05,Bedford,Municipal,Y,N,N,2003/01/01 00:00:00+00,4050030,695428.344246205,8198.28862782346
15245,18804,RAINSBURG BORO,05,Bedford,Municipal,Y,N,N,2003/01/01 00:00:00+00,4050032,835647.71884156,4674.4534610046
15246,18805,SAXTON BORO MUNI AUTH,05,Bedford,Authority,N,Y,N,2016/03/17 00:00:00+00,4050021,4550523.18717005,9160.46664569508
15247,18810,WOODBURY WATER AUTH,05,Bedford,Authority,Y,N,N,2015/07/01 00:00:00+00,4050023,4428414.19919011,8902.65398471282
15248,20049,HILLSIDE TERRACE MHP,05,Bedford,Mobile Home Park,Y,N,N,2015/03/25 00:00:00+00,4050009,159073.12506664,1850.93255888836
15249,18807,WATERSIDE LOYSBURG WATER,05,Bedford,Association,Y,N,N,2016/02/19 00:00:00+00,4050035,1270103.83025089,16787.0034492701
15250,18815,HAMBURG BORO MUNI AUTH,06,Berks,Authority,Y,Y,N,2015/03/19 00:00:00+00,3060035,8265664.45361679,22520.5918186035
15251,18814,FLEETWOOD BORO,06,Berks,Municipal,Y,N,N,2003/01/01 00:00:00+00,3060029,5333303.65151136,18997.7201267697
15252,18274,WILL O HILL APTS,06,Berks,Apartments,Y,N,N,2003/01/01 00:00:00+00,3060036,75574.30780565,1125.87665657846
15253,18296,KEYSTONE EAST LINCOLN WOOD MHP,06,Berks,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,3060061,529155.05001679,3685.33387657437
15254,18318,BETHANY CHILDRENS HOME,06,Berks,Institutional Health,Y,N,N,2003/01/01 00:00:00+00,3060092,325659.38615795,3493.41939059638
15255,18329,LAUREL HEALTH RESOURCES INC,06,Berks,Institutional Health,Y,N,N,2016/02/10 00:00:00+00,3060031,36655.745984875,790.633913086146
15256,18823,BERNVILLE BORO,06,Berks,Municipal,Y,N,N,2006/04/05 00:00:00+00,3060085,1626499.71434288,7047.08604966746
15257,18829,HIGHLAND ESTATES MHP,06,Berks,Mobile Home Park,Y,N,N,2023/03/08 00:00:00+00,3060043,989115.85837506,3857.66709211133
15258,18832,MOUNTAIN VILLAGE ESTATES MHP,06,Berks,Mobile Home Park,Y,N,N,2016/03/03 00:00:00+00,3060095,430446.517625815,2728.30150675115
15259,18844,TOPTON BORO WATER SYS,06,Berks,Municipal,Y,N,Y,2017/02/17 00:00:00+00,3060072,3547042.62700103,10761.8450241979
15260,18834,LYONS BORO MUNI AUTH,06,Berks,Authority,Y,N,N,2015/03/30 00:00:00+00,3060096,1845134.11989732,6158.54917052759
15261,18841,SHOEMAKERSVILLE BORO,06,Berks,Municipal,Y,N,N,2003/01/01 00:00:00+00,3060100,2279135.67415799,7457.95669470093
15262,19993,SITTLERS MHP,06,Berks,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,3060044,91850.85772671,1445.75979079326
15263,19997,TEEN CHALLEGE TRAINING CTR,06,Berks,Institutional Education,Y,N,N,2016/03/08 00:00:00+00,3060064,281094.073764995,2026.91802741455
15264,19998,HERITAGE HILL ESTATES,06,Berks,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,3060065,63443.51643358,1009.04235335388
15265,19999,MILLER MOBILE HOME PARK,06,Berks,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,3060068,52011.11329598,952.662965216739
15266,20000,URBAN ACRES MHP,06,Berks,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,3060070,86448.203884075,1342.22651942552
15267,49418,E AND Y FARM APTS,06,Berks,Apartments,Y,N,N,2021/03/30 00:00:00+00,3060129,148903.29145223,1840.43051044862
15268,18601,PERRY TWP MUNI AUTH,06,Berks,Authority,Y,N,Y,2003/01/01 00:00:00+00,3060123,82040.33208825,1250.48709978519
15269,18712,FAIRFIELD MUNI AUTH WATER SYS,01,Adams,Authority,Y,N,N,2022/03/28 00:00:00+00,7010005,2810144.69099899,22094.7854734852
15270,18799,FISHERTOWN WATER ASSN SYS,05,Bedford,Association,Y,N,N,2003/01/01 00:00:00+00,4050029,2545550.04638612,16618.4683020807
15271,18863,TOWANDA MUNI WATER AUTH,08,Bradford,Authority,Y,N,N,2003/01/01 00:00:00+00,2080029,13051716.92946,82433.1970641041
15272,19066,SUBURBAN LOCK HAVEN WATER AUTH,18,Clinton,Authority,N,N,Y,2006/02/28 00:00:00+00,4180049,34506546.3576467,103456.2321148
15273,20215,MAJESTIC HEIGHTS MHP,25,Erie,Mobile Home Park,Y,N,N,2006/02/28 00:00:00+00,6250020,94558.45469906,1429.78667068802
15274,18128,BEDMINSTER MUNI AUTH,09,Bucks,Authority,Y,N,Y,2019/02/27 00:00:00+00,1090104,6261293.58650554,14612.2072892769
15275,18867,TROY BORO WATER DEPT,08,Bradford,Authority,Y,N,N,2003/01/01 00:00:00+00,2080020,3649430.51660101,11311.1854311827
15276,18488,PA AMER WATER CO PINE RIDGE,52,Pike,Association,Y,N,N,2024/03/05 00:00:00+00,2520096,8640237.0142412,15703.8102749075
15277,18870,WYALUSING MUNI AUTH,08,Bradford,Authority,Y,N,N,2003/01/01 00:00:00+00,2080034,1157774.75119924,12429.2714355915
15278,19843,VILLAGE AT WHISPERING PINES,08,Bradford,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,2080009,59761.337796835,1403.17505458133
15279,19844,SEVEN HILLS MHP,08,Bradford,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,2080011,45289.61276354,1042.94083843266
15280,18901,ZELIENOPLE BORO WATER DEPT,10,Butler,Municipal,N,N,Y,2003/01/01 00:00:00+00,5100093,5924870.14396325,13135.5524407192
15281,18235,LAKE ARTHUR ESTATES,10,Butler,Mobile Home Park,Y,N,N,2015/04/10 00:00:00+00,5100054,1913600.4815317,7214.29469950568
15282,18262,CRANBERRY VILLAGE INC,10,Butler,Mobile Home Park,Y,N,Y,2015/04/22 00:00:00+00,5100050,261794.194365915,2249.54538119773
15283,18190,HAMILTON TWP MUNI AUTH,59,Tioga,Authority,N,N,Y,2024/01/12 00:00:00+00,2590049,2945224.19236998,17903.5816054639
15284,18222,NORTH MIDDLETON AUTH,21,Cumberland,Authority,N,Y,Y,2022/02/02 00:00:00+00,7210049,18564364.7085609,54702.7800970896
15285,18263,SANDY HILL ESTATES MHP,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100018,214423.79278271,1860.16584179784
15286,18281,PORT O CALL REC CLUB,10,Butler,Mobile Home Park,Y,N,N,2015/03/13 00:00:00+00,5100008,460984.306279775,2706.91635825485
15287,18559,COLONIAL GARDENS,10,Butler,Institutional Health,Y,N,N,2003/01/01 00:00:00+00,5100132,13642.661512505,467.39939359994
15288,18904,CHICORA BORO WATER CO,10,Butler,Municipal,Y,N,N,2015/03/19 00:00:00+00,5100029,2350898.12913386,7704.7074813306
15289,53174,PETROLEUM VALLEY REGIONAL WATER AUTH,10,Butler,Authority,N,N,Y,2006/10/12 00:00:00+00,5100147,1763877.20897375,16856.934170847
15290,20143,PINEHURST MANOR MHP,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100015,90572.183861295,1251.03650319951
15291,20144,HY VUE ACRES MHP,10,Butler,Mobile Home Park,Y,N,N,2017/03/19 00:00:00+00,5100016,43675.58765026,977.229613842538
15292,20150,COYLESVILLE COURT MHP,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100036,99549.4479112,1645.89124612453
15293,20151,CRYSTAL SPRINGS MHP,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100037,305445.14594463,2870.76735924426
15294,20152,PERRY LAKE ESTS,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100043,42377.899783965,842.724318732491
15295,20156,GULICK MHP,10,Butler,Mobile Home Park,Y,N,N,2015/03/28 00:00:00+00,5100062,109149.895988665,1638.36894485142
15296,20157,FAIR WINDS MANOR,10,Butler,Institutional Health,Y,N,N,2015/03/24 00:00:00+00,5100063,2608.41449144,220.43021872908
15297,20160,CUPEC MOBILE ESTATES,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100087,63559.77915607,971.611254574194
15298,19463,PA AMER WATER CO WHITE DEER DIST,49,Northumberland,Private Investor Owned,N,Y,N,2024/03/05 00:00:00+00,4490023,123154880.978467,335478.313642816
15299,20164,WESLEYS HIDEAWAY,10,Butler,Mobile Home Park,Y,N,N,2016/02/27 00:00:00+00,5100126,132734.355774905,1458.31031194687
15300,18610,MUNICIPAL WATER AUTH ADAMS TWP (MWAAT),10,Butler,Authority,N,N,Y,2003/01/01 00:00:00+00,5100141,5731852.59657838,29442.7313429296
15301,44495,SUTTON MHP INC,10,Butler,Mobile Home Park,Y,N,N,2018/02/01 00:00:00+00,5100140,435841.711728965,2665.84338522218
15302,20165,CHICORA MEDICAL CENTER,10,Butler,Institutional Health,Y,N,N,2003/01/01 00:00:00+00,5100127,10583.14535798,577.967427433612
15303,44529,BRADY HILLS MHP,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100869,360499.770938135,2801.94096767324
15304,19755,VILLA VISTA ESTATES,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100084,375647.149533005,2969.59868414694
15305,20162,CORAL RIDGE ESTATE,10,Butler,Mobile Home Park,Y,N,N,2003/01/01 00:00:00+00,5100105,83146.551112855,1364.81646336971
15306,18902,BUFFALO TWP MUNI AUTH,10,Armstrong,Authority,N,Y,Y,2019/02/06 00:00:00+00,5030019,24078022.1391956,57484.0301676308
15307,18907,EVANS CITY WATER & SEWER AUTH,10,Butler,Authority,N,N,Y,2015/04/13 00:00:00+00,5100033,5256965.13997244,18590.6127164496
15308,64367,LCWSA VILLAGE WATER SYS,41,Lycoming,Private Investor Owned,Y,N,N,2023/03/28 00:00:00+00,4410174,13066525.3906531,17595.0417839027
15309,18953,EMPORIUM WATER CO,12,Cameron,Private Investor Owned,N,Y,N,2017/12/15 00:00:00+00,6120002,17679535.9413564,32150.2028688339
